SUBE_KODU;SUBE_KODU_org;SUBE_ADI;BOLGE;IL_KODU;IL_ADI;SUBE_AKTIF_KOD;ILCE_KODU;ILCE_ISMI;SUBE_ADRES;KAPANIS_TARIHI;ACILIS_TAR
2000;9780;GEBZE;İSTANBUL ANADOLU    ;41;KOCAELİ                                           ;A;4101;GEBZE;Güzeller Mahallesi Yeni Bağdat Caddesi No:607 A Gebze/Kocaeli;NULL;2002-01-04 00:00:00.000
2005;4020;SİLİVRİ;TRAKYA              ;34;İSTANBUL                                          ;A;3417;SİLİVRİ;Piri Mehmet Paşa Mahallesi Başkomutan Caddesi No:8/A Silivri/İstanbul;NULL;2007-12-12 00:00:00.000
2010;2685;KADINHANI;BAŞKENT-2           ;42;KONYA                                             ;A;4211;KADINHANI;Doğanlar Mah. 124003. Sok. 3A/1 Kadınhanı/Konya;NULL;2016-03-31 00:00:00.000
2015;2015;NECATİBEY;BAŞKENT-1           ;6;ANKARA                                            ;P;602;ÇANKAYA;Necatibey Cad. No:11/A Kızılay Çankaya/Ankara;25.03.2019 00:00;2013-12-27 00:00:00.000
2020;2310;NEVŞEHİR;BAŞKENT-1           ;50;NEVŞEHİR                                          ;A;5000;NEVŞEHİR;Camikebir Mah. Atatürk Bulvarı No:11 Nevşehir;NULL;2002-07-10 00:00:00.000
2025;4240;ÇATALCA;TRAKYA              ;34;İSTANBUL                                          ;A;3416;ÇATALCA;Ferhatpaşa Mah. Cumhuriyet Meydanı No:3/1   Çatalca / İstanbul;NULL;2007-07-25 00:00:00.000
2035;1490;MARDİN;GÜNEYDOĞU ANADOLU   ;47;MARDİN                                            ;A;4700;MARDİN;13 Mart Mahallesi Vali Ozan Caddesi Bingül İş Merkezi No:52/A Artuklu/Mardin;NULL;2009-07-15 00:00:00.000
2040;4900;TURGUTREİS;AKDENİZ             ;48;MUĞLA                                             ;A;4801;BODRUM;Turgutreis Mah. Mehmet Hilmi Cad. Denizbank Sitesi No:44/A Bodrum/Muğla;NULL;2008-06-19 00:00:00.000
2045;2180;GİMAT;BAŞKENT-2           ;6;ANKARA                                            ;A;605;YENİMAHALLE;Çamlıca Mahallesi Anadolu Bulvarı No:28/11 Yenimahalle/Ankara;NULL;2002-02-01 00:00:00.000
2055;3855;KARABAĞLAR BÜYÜK İŞLETMELER;EGE                 ;35;İZMİR                                             ;A;3530;KARABAĞLAR;Aşık Veysel Mahallesi Yeşillik Caddesi No:391B Karabağlar /İzmir;NULL;2022-07-14 00:00:00.000
2060;2060;HARBİYE;AVRUPA-1            ;34;İSTANBUL                                          ;P;3413;ŞİŞLİ;HALASKARGAZİ CADDESİ NO:21 HARBİYE ŞİŞLİ/İSTANBUL;31.05.2018 00:00;2002-01-03 00:00:00.000
2065;2385;TAVAS;AKDENİZ             ;20;DENİZLİ                                           ;A;2000;MERKEZ;Orta Mah. Hükümet Cad. No:56A Tavas/Denizli;NULL;2015-05-28 00:00:00.000
2070;2070;KAHRAMANMARAŞ;ÇUKUROVA            ;46;KAHRAMANMARAŞ                                     ;P;4600;KAHRAMANMARAŞ;Yeni Şehir Mahallesi Cumhuriyet Bulvarı Köker Sitesi C/Blok No:2/B Dulkadiroğlu/;04.04.2023 00:00;2002-01-02 00:00:00.000
2075;1125;DÜZCE MEYDAN;MARMARA             ;81;DÜZCE                                             ;A;8100;DÜZCE;Camikebir Mah. İstanbul Cad. 51/A Merkez / Düzce;NULL;2012-05-18 00:00:00.000
2080;5240;SORGUN;BAŞKENT-1           ;66;YOZGAT                                            ;A;6606;SORGUN;Çay Mahallesi Cumhuriyet Caddesi No:133/A Sorgun/Yozgat;NULL;2010-09-29 00:00:00.000
2085;2085;GEBZE CUMHURİYET CADDESİ;İSTANBUL ANADOLU-2  ;41;KOCAELİ                                           ;P;4101;GEBZE;Hacı Halil Mahallesi 1218 Sokak No:34/A Gebze/Kocaeli;15.12.2017 00:00;2013-12-30 00:00:00.000
2090;2010;ADAPAZARI;MARMARA             ;54;SAKARYA                                           ;A;5416;ADAPAZARI;Orta Mahallesi Soğan Pazarı Cad No:40 Adapazarı/Sakarya;NULL;2001-12-31 00:00:00.000
2095;8214;ERZURUM MOBİL SATIŞ OFİSİ;GENEL MÜDÜRLÜK      ;25;ERZURUM                                           ;A;2500;ERZURUM;Bakırcı mahallesi İzzet paşa caddesi Ömer Erturan İş merkezi No:3/4 Yakutiye/ERZ;NULL;2018-11-15 00:00:00.000
