SUBE_KODU;SUBE_KODU_org;SUBE_ADI;BOLGE;IL_KODU;IL_ADI;SUBE_AKTIF_KOD;ILCE_KODU;ILCE_ISMI;SUBE_ADRES;KAPANIS_TARIHI;ACILIS_TAR
2105;2105;KOVANCILAR;GÜNEYDOĞU ANADOLU   ;23;ELAZIĞ                                            ;P;2300;ELAZIĞ;Çay Başı Mah. Elazığ-2 Cad. No: 30 A Kovancılar/Elazığ;02.12.2020 00:00;2014-01-20 00:00:00.000
2110;1875;BEYŞEHİR;BAŞKENT-2           ;42;KONYA                                             ;A;4202;BEYŞEHİR;Evsat Mah.40616 Sk.No:37 Beyşehir/Konya;NULL;2013-06-19 00:00:00.000
2115;5060;BOSNA CADDESİ;MARMARA             ;54;SAKARYA                                           ;A;5416;ADAPAZARI;SEMERCİLER MAH. BOSNA CAD. NO:21 ADAPAZARI/SAKARYA;NULL;2010-08-31 00:00:00.000
2120;9076;İZMİR;EGE                 ;35;İZMİR                                             ;A;3522;KONAK;Gaziosmanpaşa Bulvarı No:12 Konak/İzmir;NULL;1997-11-10 00:00:00.000
2125;3095;MALAZGİRT;GÜNEYDOĞU ANADOLU   ;49;MUŞ                                               ;A;4902;MALAZGİRT;Mengüçgazi Mahallesi 109 Sokak No:8G Malazgirt/Muş;NULL;2017-10-17 00:00:00.000
2130;2555;GÖRELE;KARADENİZ           ;28;GİRESUN                                           ;A;2806;GÖRELE;Kumyalı Mahallesi Barış Caddesi No:3A Görele/Giresun;NULL;2015-12-10 00:00:00.000
2135;4090;ESENLER;AVRUPA-2            ;34;İSTANBUL                                          ;A;3433;ESENLER;Kazım Karabekir Mah. Atışalanı Cad. No:79A   Esenler /İSTANBUL;NULL;2007-09-04 00:00:00.000
2140;2140;ANTALYA HAVA LİMANI;AKDENİZ             ;7;ANTALYA                                           ;P;700;ANTALYA;Antalya Havalimanı 1.Dış hatlar Terminali/Antalya;13.09.2007 00:00;2002-05-05 00:00:00.000
2145;3170;TOPKAPI CEVİZLİBAĞ;AVRUPA-1            ;34;İSTANBUL                                          ;A;3415;ZEYTİNBURNU;Maltepe Mahallesi Yedikule Çırpıcı Yol Sokak No:2/I Zeytinburnu/İstanbul;NULL;2005-02-28 00:00:00.000
2150;3765;DEMİRTAŞ ORGANİZE SANAYİ BÜYÜK İŞLETMELE;MARMARA             ;16;BURSA                                             ;A;1614;OSMANGAZİ;Demirtaş Cumhuriyet Mah.Müjdat Köstendil Cad. No:5B Osmangazi / Bursa;NULL;2022-04-24 00:00:00.000
2155;1345;ESKİŞEHİR BAĞLAR;BAŞKENT-2           ;26;ESKİŞEHİR                                         ;A;2614;TEPEBAŞI;Eskibağlar Mah. Üniversite Cad. No:15/A Tepebaşı/Eskişehir;NULL;2013-01-11 00:00:00.000
2160;1870;GÖLKÖY;KARADENİZ           ;52;ORDU                                              ;A;5204;GÖLKÖY;Gölköy Mahallesi Mustafa Kemalpaşa Caddesi No:125 A Gölköy/ORDU;NULL;2009-11-04 00:00:00.000
2165;2165;İKİTELLİ TİCARİ MERKEZ;AVRUPA-3            ;34;İSTANBUL                                          ;P;3438;BAŞAKŞEHİR;İkitelli Organize Küçük Sanayi Bölgesi Bağcılar Güngören Sanayi Sitesi İdari Bin;16.03.2017 00:00;2014-03-11 00:00:00.000
2170;1990;ARDEŞEN;KARADENİZ           ;53;RİZE                                              ;A;5301;ARDEŞEN;Fatih Mah. Atatürk Cad. No:172/B Ardeşen/Rize;NULL;2009-12-18 00:00:00.000
2175;2175;ÇORUM GAZİ CADDESİ;KARADENİZ           ;19;ÇORUM                                             ;P;1900;ÇORUM;Yeniyol Mah. Gazi Cad. No:16   Çorum;26.07.2017 00:00;2014-03-07 00:00:00.000
2180;2760;PERPA;AVRUPA-1            ;34;İSTANBUL                                          ;A;3413;ŞİŞLİ;PERPA TİCARET MERKEZİ B BLOK KAT:5 NO: 389 OKMEYDANI / İSTANBUL;NULL;1999-09-17 00:00:00.000
2185;2185;EŞREFPAŞA;EGE                 ;35;İZMİR                                             ;P;3522;KONAK;Zafertepe Mah. Eşrefpaşa Cad. No:407-409/C   Konak / İzmir;25.12.2015 00:00;2014-03-10 00:00:00.000
2190;4330;TAVŞANLI;MARMARA             ;43;KÜTAHYA                                           ;A;4306;TAVŞANLI;Yeni Mahalle Haşim Benli Bulvarı No:136/A Tavşanlı/Kütahya;NULL;2007-11-01 00:00:00.000
2195;2225;OSTİM TİCARİ MERKEZ;BAŞKENT-2           ;6;ANKARA                                            ;A;605;YENİMAHALLE;Ostim 100. Yıl Bulvarı No:99 Kat:5 Ofis:97 Yenimahalle/Ankara;NULL;2014-04-16 00:00:00.000
2205;2205;GEDİZ;MARMARA             ;43;KÜTAHYA                                           ;P;4304;GEDİZ;Uluoymak Mah. Mehmet Ersoy Cad. No:6/43   Gediz / Kütahya;18.12.2021 00:00;2014-04-25 00:00:00.000
2210;5560;ANKARA MALTEPE;BAŞKENT-1           ;6;ANKARA                                            ;A;602;ÇANKAYA;Gazi Mustafa Kemal Bulvarı No:59/B Maltepe   Çankaya / Ankara;NULL;2011-02-21 00:00:00.000
2220;1850;ERGANİ;GÜNEYDOĞU ANADOLU   ;21;DİYARBAKIR                                        ;A;2106;ERGANİ;Sanayi Mah. Orhan Doğan 6. Sok. A Blk No:1/A İç Kapı No:27 Ergani/Diyarbakır;NULL;2009-11-17 00:00:00.000
2225;3350;DÜZCE;MARMARA             ;81;DÜZCE                                             ;A;8100;MERKEZ;Burhaniye Mahallesi Bolu Caddesi No:21/B Merkez/Düzce;NULL;2005-09-01 00:00:00.000
2230;9490;KONYA;BAŞKENT-2           ;42;KONYA                                             ;A;4226;SELÇUKLU;Musalla Bağları Mahallesi Ahmet Hilmi Nalçacı Caddesi No:96A Selçuklu/Konya;NULL;2000-12-19 00:00:00.000
2235;2235;TUZLA ORGANİZE TİCARİ MERKEZ;İSTANBUL ANADOLU-2  ;34;İSTANBUL                                          ;P;3432;TUZLA;Aydınlı Mah. Boya Vernik Osb. 1 NoLu Cadde No:1 Kat:2 Tuzla/İstanbul;08.12.2015 00:00;2014-04-14 00:00:00.000
2240;2240;RAMİ;AVRUPA-2            ;34;İSTANBUL                                          ;P;3407;EYÜP;Rami Yeni Mahallesi Kuru Gıda 11. Sokak No:73, 75, 77 Eyüpsultan/İstanbul;18.08.2021 00:00;2002-01-31 00:00:00.000
2245;2245;İPEKYOLU TİCARİ MERKEZ;ÇUKUROVA            ;27;GAZİANTEP                                         ;P;2708;ŞEHİTKAMİL;Budak Mah. 10031 Nolu Sok. Yasem Sitesi No:42/214 Şehitkamil / Gaziantep;07.10.2015 00:00;2014-05-13 00:00:00.000
2255;2255;ALTINTEPE;İSTANBUL ANADOLU    ;34;İSTANBUL                                          ;P;3430;MALTEPE;Altıntepe Mah. Bağdat Cad. No:83/B   Maltepe/İstanbul;23.05.2016 00:00;2014-05-15 00:00:00.000
2260;4160;GALATA BÜYÜK İŞLETMELER;AVRUPA-1            ;34;İSTANBUL                                          ;A;3408;FATİH;Sarıdemir Mh.Ragıp Gümüşpala Cd.Ahenk Han İş Merk.No:29 No:1 Fatih/İstanbul;NULL;2007-08-17 00:00:00.000
2265;2705;SİLVAN;GÜNEYDOĞU ANADOLU   ;21;DİYARBAKIR                                        ;A;2111;SİLVAN;MESCİT MAH. GAZİ CAD. TAYFURLAR PLAZA NO:80/D SİLVAN/DİYARBAKIR;NULL;2016-04-22 00:00:00.000
2270;3040;ANTALYA 100.YIL;AKDENİZ             ;7;ANTALYA                                           ;A;719;MURATPAŞA;Ulusoy Bulvarı No : 11/C   Antalya;NULL;2004-07-28 00:00:00.000
2275;2275;İSTANBUL YEDİTEPE TİCARİ MERKEZ;AVRUPA-2            ;34;İSTANBUL                                          ;P;3402;BAKIRKÖY;İncirli Cad. Kıbrıs Sok. No:28 K: 2-3-4 Bakırköy/İstanbul;10.07.2017 00:00;2014-05-14 00:00:00.000
2280;2350;KUMLUCA;AKDENİZ             ;7;ANTALYA                                           ;A;709;KUMLUCA;Bağlık Mahallesi Hasan Tuna Caddesi Özer Apartmanı No:12/A Kumluca/Antalya;NULL;2002-11-04 00:00:00.000
2285;1070;GÜRSU;MARMARA             ;16;BURSA                                             ;A;1616;GÜRSU;Kurtuluş Mahallesi Şehit Cüneyt Yıldız Caddesi No:28/A Gürsu/Bursa;NULL;2008-07-18 00:00:00.000
2290;5850;BEYKOZ;İSTANBUL ANADOLU    ;34;İSTANBUL                                          ;A;3404;BEYKOZ;Merkez Mah. Fevzi Paşa Cad.No:18/A Beykoz/İstanbul;NULL;2011-11-20 00:00:00.000
2295;2380;BAĞCILAR;AVRUPA-2            ;34;İSTANBUL                                          ;A;3427;BAĞCILAR;Merkez Mahallesi 675. Sokak No:1-7C Bağcılar/İstanbul;NULL;2002-11-03 00:00:00.000
2305;4370;MUSTAFAKEMALPAŞA;MARMARA             ;16;BURSA                                             ;A;1607;MUSTAFAKEMALPAŞA;ŞEYHMÜFTÜ MAH. BALIKESİR CAD. NO:4 MUSTAFAKEMALPAŞA / BURSA;NULL;2007-05-09 00:00:00.000
2310;2280;MANAVGAT;AKDENİZ             ;7;ANTALYA                                           ;A;710;MANAVGAT;AŞAĞIHİSAR MAH. ANTALYA CAD. NO:23 MANAVGAT/ANTALYA;NULL;2002-06-20 00:00:00.000
2315;2315;NİLÜFER TİCARİ MERKEZ;MARMARA             ;16;BURSA                                             ;P;1613;NİLÜFER;Üçevler Mah. Nilüfer Cad. No:4 K:1 Küçük Sanayi Girişi Nilüfer/Bursa;04.08.2016 00:00;2014-10-17 00:00:00.000
2320;2220;KARABÜK;BAŞKENT-1           ;78;KARABÜK                                           ;A;7800;KARABÜK;Bayır Mahallesi Menderes Caddesi Karabük Belediyesi Apartmanı No:4/A Merkez/Kara;NULL;2002-02-04 00:00:00.000
2325;5270;TATVAN;GÜNEYDOĞU ANADOLU   ;13;BİTLİS                                            ;A;1305;TATVAN;Aydınlar Mahallesi Cumhuriyet Bulvarı No:158-160A Tatvan/Bitlis;NULL;2010-12-02 00:00:00.000
2330;9070;GEYVE;MARMARA             ;54;SAKARYA                                           ;A;5402;GEYVE;Camiikebir Mah. Cumhuriyet Meydanı. No:6   Geyve / Sakarya;NULL;2011-11-21 00:00:00.000
2335;2335;ANTAKYA  ÇARŞI;ÇUKUROVA            ;31;HATAY                                             ;P;3100;ANTAKYA;Haraparası Mahallesi İstiklal Caddesi Denizbank Blok No:27 Antakya/Hatay;NULL;2014-12-15 00:00:00.000
2340;5810;BOZYAKA;EGE                 ;35;İZMİR                                             ;A;3530;KARABAĞLAR;Eskiizmir Cad. No:158 Bozyaka Karabağlar/İzmir;NULL;2011-05-31 00:00:00.000
2345;3280;NİLÜFER;MARMARA             ;16;BURSA                                             ;A;1613;NİLÜFER;Üçevler Mahallesi Nilüfer(220) Caddesi Küçük Sanayi Sitesi No:4/3 Nilüfer/Bursa;NULL;2005-06-02 00:00:00.000
2350;5040;YENİBOSNA;AVRUPA-2            ;34;İSTANBUL                                          ;A;3428;BAHÇELİEVLER;YILDIRIM BEYAZIT CAD. NO:106/1 YENİBOSNA BAHÇELİEVLER/İSTANBUL;NULL;2010-07-21 00:00:00.000
2355;2355;MECİDİYEKÖY TİCARİ MERKEZ;AVRUPA-1            ;34;İSTANBUL                                          ;P;3413;ŞİŞLİ;Mecidiyeköy Mah. Mecidiye Cad. No:2 K Plaza Kat:1 Şişli/İstanbul;16.12.2015 00:00;2014-12-29 00:00:00.000
2360;9800;MALATYA;GÜNEYDOĞU ANADOLU   ;44;MALATYA                                           ;A;4409;BATTALGAZİ;Niyazi Mah. İnönü Cad. Doğa Cadde No:144 İç Kapı No:B12 Battalgazi / Malatya;NULL;2002-01-01 00:00:00.000
2365;5250;KARAÇULHA;AKDENİZ             ;48;MUĞLA                                             ;A;4804;FETHİYE;ÇALICA MAH. ATATÜRK BULVARI NO:198 KARAÇULHA-FETHİYE/MUĞLA;NULL;2010-09-28 00:00:00.000
2370;3060;SULTANÇİFTLİĞİ;AVRUPA-2            ;34;İSTANBUL                                          ;A;3441;SULTANGAZİ;İsmet Paşa Mahallesi Eski Edirne Asfaltı No:703/A Sultangazi/İstanbul;NULL;2004-09-30 00:00:00.000
2375;2375;ŞUHUT;BAŞKENT-2           ;3;AFYON                                             ;P;310;ŞUHUT;Kurtuluş Mah. Afyon Cad. No:45/Z06 Şuhut/Afyon;09.05.2023 00:00;2015-05-06 00:00:00.000
2380;1600;YEŞİLHİSAR;BAŞKENT-1           ;38;KAYSERİ                                           ;A;3810;YEŞİLHİSAR;İdris Mah. İsmet İnönü Cad. No:29 C Yeşilhisar/Kayseri;NULL;2009-09-25 00:00:00.000
2385;3020;EGE TİCARİ MERKEZ;EGE                 ;35;İZMİR                                             ;A;3522;KONAK;Akdeniz Mahallesi Şehit Fethibey Caddesi Denizhan Bölge Müdürlüğü Apt. No:116/10;NULL;2004-06-17 00:00:00.000
2390;2390;ATATÜRK HAVA L.SER.B          ;AVRUPA-3            ;34;İSTANBUL                                          ;P;3402;BAKIRKÖY;ATATÜRK H.L.SERBEST BÖLGESİ NO:81/81;NULL;NULL
2395;5150;İVEDİK BÜYÜK İŞLETMELER;BAŞKENT-2           ;6;ANKARA                                            ;A;605;YENİMAHALLE;Ostim OSB Mahallesi 100. Yıl Bulvarı No:55D İç Kapı No:53 Yenimahalle \ Ankara;NULL;2010-09-20 00:00:00.000
2400;1180;KAĞITHANE;AVRUPA-1            ;34;İSTANBUL                                          ;A;3424;KAĞITHANE;Merkez Mahallesi Çobançeşme Caddesi No:15 Kağıthane/İstanbul;NULL;2008-10-30 00:00:00.000
2405;2415;BOR;BAŞKENT-2           ;51;NİĞDE                                             ;A;5100;NİĞDE;Harım Mah. İstasyon Cad. Tarım Apt. No:8/A Bor/Niğde;NULL;2015-05-12 00:00:00.000
2410;4360;3.CADDE / BAHÇEŞEHİR;AVRUPA-2            ;34;İSTANBUL                                          ;A;3438;BAŞAKŞEHİR;Bahçeşehir 2.Kısım Mahallesi Şehit Polis Gaffar Okkan Caddesi No:2 C Başakşehir/;NULL;2007-12-12 00:00:00.000
2415;3870;ESENYURT;AVRUPA-2            ;34;İSTANBUL                                          ;A;3436;ESENYURT;Zafer Mahallesi Doğan Araslı Bulvarı No:85A Esenyurt/İstanbul;NULL;2006-12-27 00:00:00.000
2420;4740;İSLAHİYE;ÇUKUROVA            ;27;GAZİANTEP                                         ;A;2702;İSLAHİYE;Cumhuriyet Mahallesi Gaziantep Bulvarı No:42A İslahiye/Gaziantep;NULL;2008-06-03 00:00:00.000
2425;1300;BURSA YENİŞEHİR;MARMARA             ;16;BURSA                                             ;A;1610;YENİŞEHİR;Hıdırbali Mahallesi Alican Caddesi No:8/A Yenişehir/Bursa;NULL;2008-12-23 00:00:00.000
2430;4230;KURTKÖY;İSTANBUL ANADOLU    ;34;İSTANBUL                                          ;A;3420;PENDİK;Kurtköy Mahallesi Ankara Caddesi No:319 A Pendik/İstanbul;NULL;2007-06-25 00:00:00.000
2435;1660;MUŞ;GÜNEYDOĞU ANADOLU   ;49;MUŞ                                               ;A;4900;MUŞ;Kültür Mahallesi Atatürk Bulvarı Turan Apt. No:20A Merkez/Muş;NULL;2009-07-06 00:00:00.000
2440;3845;AYDIN BÜYÜK İŞLETMELER;EGE                 ;9;AYDIN                                             ;A;900;AYDIN;Güzelhisar Mahallesi 33.Sokak No:1A Efeler/Aydın;NULL;2022-04-04 00:00:00.000
2445;3300;GİRESUN;KARADENİZ           ;28;GİRESUN                                           ;A;2800;GİRESUN;Sultanselim Mah.Gazi Cad. No.5  Giresun;NULL;2005-07-18 00:00:00.000
2450;9980;KARABAĞLAR;EGE                 ;35;İZMİR                                             ;A;3530;KARABAĞLAR;Yeşillik Cad. No:391/B Karabağlar;NULL;2002-02-18 00:00:00.000
2455;2455;ESENYURT MEYDAN;TRAKYA              ;34;İSTANBUL                                          ;P;3436;ESENYURT;Sultaniye Mah. Doğan Araslı Bulvarı No:140A/8 Esenyurt/İstanbul;19.12.2017 00:00;2015-06-04 00:00:00.000
2460;2395;MİDYAT;GÜNEYDOĞU ANADOLU   ;47;MARDİN                                            ;A;4707;MİDYAT;Yunus Emre Mah. Cumhuriyet Bulvarı No:16 D Blok/M-N-P Midyat/Mardin;NULL;2015-05-12 00:00:00.000
2465;4730;URLA;EGE                 ;35;İZMİR                                             ;A;3519;URLA;Hacıisa Mah. 75.Yıl Cumhuriyet Cad. No:1 Urla / İzmir;NULL;2008-04-16 00:00:00.000
2470;4190;EMİRDAĞ;BAŞKENT-2           ;3;AFYON                                             ;A;305;EMİRDAĞ;YENİ MAH. ESKİŞEHİR CAD. NO:42 EMİRDAĞ / AFYON;NULL;2007-06-14 00:00:00.000
2475;2970;GAZİPAŞA;AKDENİZ             ;7;ANTALYA                                           ;A;705;GAZİPAŞA;İstiklal Mahallesi Mehmet Oğuz Bulvarı No:3N Gazipaşa/Antalya;NULL;2004-03-29 00:00:00.000
2480;9410;DİYARBAKIR;GÜNEYDOĞU ANADOLU   ;21;DİYARBAKIR                                        ;A;2115;YENİŞEHİR;Kooperatifler Mah.Yaşar Kemal Cad.Evran Apt.No:38/2 Yenişehir/Diyarbakır;NULL;2000-09-04 00:00:00.000
2485;2485;SARIKAMIŞ;KARADENİZ           ;36;KARS                                              ;P;3611;SARIKAMIŞ;Erenler Mahallesi Şehit Binbaşı Bedri Karabıyık Caddesi No:19/A Sarıkamış/Kars;12.09.2022 00:00;2015-08-14 00:00:00.000
2490;1530;KORKUTELİ;AKDENİZ             ;7;ANTALYA                                           ;A;708;KORKUTELİ;Kiremitli Mh.M.Akif Ersoy Blv.Ziya Küçükyörük Apt.No:24/1 KapıNo:1 Korkuteli/Ant;NULL;2009-09-24 00:00:00.000
2495;2765;YATAĞAN;AKDENİZ             ;48;MUĞLA                                             ;A;4809;YATAĞAN;Konak Mah. Atatürk Cad. No:15/2 Yatağan/Muğla;NULL;2016-08-15 00:00:00.000
2500;2740;MENEMEN;EGE                 ;35;İZMİR                                             ;A;3513;MENEMEN;Mermerli Mahallesi Ertuğrul Caddesi No:5/C Menemen/İzmir;NULL;2002-12-27 00:00:00.000
2505;5610;PENDİK ÇARŞI;İSTANBUL ANADOLU    ;34;İSTANBUL                                          ;A;3420;PENDİK;Doğu Mahallesi Lokman Hekim Caddesi No:11C Pendik/İstanbul;NULL;2010-12-12 00:00:00.000
2510;7030;IHLAMURKUYU;İSTANBUL ANADOLU    ;34;İSTANBUL                                          ;A;3423;ÜMRANİYE;Ihlamurkuyu Mahallesi Alemdağ Caddesi No:269/A Ümraniye/İstanbul;NULL;2011-11-02 00:00:00.000
2515;2515;PATNOS;GÜNEYDOĞU ANADOLU   ;4;AĞRI                                              ;P;405;PATNOS;Yeni Mah. Atatürk Bulvarı No:37/A Patnos/Ağrı;09.05.2023 00:00;2015-08-26 00:00:00.000
2520;4440;BİGA;TRAKYA              ;17;ÇANAKKALE                                         ;A;1703;BİGA;Sakarya Mah. Park Sokak No:12-14 Biga/Çanakkale;NULL;2007-12-05 00:00:00.000
2525;2525;BESNİ;GÜNEYDOĞU ANADOLU   ;2;ADIYAMAN                                          ;P;201;BESNİ;Dumlupınar Mahallesi Atatürk Caddesi No:177/A Besni/Adıyaman;05.05.2023 00:00;2015-10-06 00:00:00.000
2530;1000;BABAESKİ;TRAKYA              ;39;KIRKLARELİ                                        ;A;3901;BABAESKİ;Hacıhasan Mahallesi Mehmet Öktem Sokak No:6 A/0 Babaeski/Kırklareli;NULL;2008-05-08 00:00:00.000
2535;1370;ACIPAYAM;AKDENİZ             ;20;DENİZLİ                                           ;A;2001;ACIPAYAM;Aşağı Mh.Atatürk 5 Blvr. Ramazan Kanber Sit. Kanal Apt.No:47/A Acıpayam/Denizli;NULL;2008-12-22 00:00:00.000
2540;2055;DİYARBAKIR PLAZA;GÜNEYDOĞU ANADOLU   ;21;DİYARBAKIR                                        ;A;2116;KAYAPINAR;Fırat Mah. Urfa Bulvarı No:146 İç Kapı No:1 Kayapınar/Diyarbakır;NULL;2013-12-27 00:00:00.000
2545;1545;SİNCAN VATAN CADDESİ;BAŞKENT-2           ;6;ANKARA                                            ;A;622;SİNCAN;Pınarbaşı Mah. Vatan Cad. No:70/B Sincan/Ankara;NULL;2013-06-03 00:00:00.000
2550;2120;AFYON;BAŞKENT-2           ;3;AFYON                                             ;A;300;AFYON;Dumlupınar Mah.Ordu Bulvarı Orduevi Karşısı Genelioğlu Apt.B Blk No:22-B AFYON;NULL;2001-12-27 00:00:00.000
2555;1190;KİRAZ;EGE                 ;35;İZMİR                                             ;A;3512;KİRAZ;İstiklal Mah. Hoca İbrahim Bey Cad. No: 2 Kiraz / İzmir;NULL;2008-12-18 00:00:00.000
2560;1225;BAYRAMPAŞA HAL;AVRUPA-2            ;34;İSTANBUL                                          ;A;3425;BAYRAMPAŞA;Kocatepe Mahallesi Kantarcılar Sokak Sebze Meyve Hali Sitesi No:10/1 Bayrampaşa;NULL;2012-10-03 00:00:00.000
2565;2565;HORASAN;BAŞKENT-2           ;25;ERZURUM                                           ;P;2504;HORASAN;Adnan Menderes Mah. Erzurum Cad. Değirmenler Sok. Haktan Apt. No:49/1 Horasan/Er;11.10.2021 00:00;2015-10-11 00:00:00.000
2570;3120;TARSUS;ÇUKUROVA            ;33;İÇEL                                              ;A;3306;TARSUS;Şehitkerim Mahallesi İsmetpaşa Bulvarı No:11/B Tarsus/Mersin;NULL;2004-12-15 00:00:00.000
2575;4720;BOSTANLI;EGE                 ;35;İZMİR                                             ;A;3502;KARŞIYAKA;Cengiz Topel Cad. No:24/A   Bostanlı   Karşıyaka / İzmir;NULL;2008-05-21 00:00:00.000
2580;9560;KADIKÖY RIHTIM;İSTANBUL ANADOLU    ;34;İSTANBUL                                          ;A;3410;KADIKÖY;CAFERAĞA MAH. ALBAY FAİK SÖZDENER CAD. NO:13/A KADIKÖY /İSTANBUL;NULL;2002-01-03 00:00:00.000
2585;2585;KEÇİBORLU;AKDENİZ             ;32;ISPARTA                                           ;P;3204;KEÇİBORLU;Yukarı Mah. Atatürk Cad. No:123/1 Keçiborlu/Isparta;17.12.2021 00:00;2015-12-14 00:00:00.000
2590;8080;RİZE FINDIKLI;KARADENİZ           ;53;RİZE                                              ;A;5304;FINDIKLI;Merkez Mah. 8.Cadde No:6/A Fındıklı/Rize;NULL;2011-11-01 00:00:00.000
2595;2595;AKDAĞMADENİ;BAŞKENT-1           ;66;YOZGAT                                            ;P;6601;AKDAĞMADENİ;Yeşiltepe Mah. İstiklal Cad. No:33/A Akdağmadeni/Yozgat;13.05.2022 00:00;2015-12-13 00:00:00.000
2600;3930;TEPEÜSTÜ;AVRUPA-2            ;34;İSTANBUL                                          ;A;3421;KÜÇÜKÇEKMECE;Cumhuriyet Mahallesi İnönü Caddesi Mustafa Bey Apt. Blok No: 59A İç Kapı No: 1 K;NULL;2006-12-27 00:00:00.000
2605;3650;METROPOL;ÇUKUROVA            ;33;İÇEL                                              ;A;3310;AKDENİZ;İhsanye Mah Kuvai Millye Cad Akarsu Plza Stsi No:109 İç Ka No:Z36 Akdeniz/Mersin;NULL;2006-02-13 00:00:00.000
2610;4570;KIRIKKALE KURTULUŞ;BAŞKENT-1           ;71;KIRIKKALE                                         ;A;7101;DELİCE;Gürler Mah. Menderes Cad. No:42/A Merkez- Kırıkkale;NULL;2007-12-26 00:00:00.000
2615;2615;İVRİNDİ;TRAKYA              ;10;BALIKESİR                                         ;P;1011;İVRİNDİ;Yedieylül Mah. Zübeyde Hanım Cad. No:23A İvrindi/Balıkesir;13.09.2022 00:00;2015-12-20 00:00:00.000
2620;9550;MERSİN;ÇUKUROVA            ;33;İÇEL                                              ;A;3310;AKDENİZ;Çankaya Mahallesi İsmet İnönü Bulvarı No:110/C Akdeniz/Mersin;NULL;2001-12-25 00:00:00.000
2625;2625;YIĞILCA;MARMARA             ;81;DÜZCE                                             ;P;8107;YIĞILCA;Atatürk Mah. Atatürk Cad. No:23 Yığılca/Düzce;13.09.2022 00:00;2015-12-16 00:00:00.000
2630;1895;BAĞDAT CADDESİ;İSTANBUL ANADOLU    ;34;İSTANBUL                                          ;A;3410;KADIKÖY;Bostancı Mahallesi Bağdat Caddesi No:491/0 Kadıköy/İstanbul;NULL;2013-08-06 00:00:00.000
2635;3130;DENİZLİ SANAYİ;AKDENİZ             ;20;DENİZLİ                                           ;A;2000;DENİZLİ;1.Sanayi Sitesi 164.Sok. No:11 DENİZLİ;NULL;2004-12-17 00:00:00.000
2640;1830;PAZARCIK;ÇUKUROVA            ;46;KAHRAMANMARAŞ                                     ;A;4605;PAZARCIK;Menderes Mah. İstasyon Cd. Denizbank Şubesi No:17 Pazarcık/Kahramanmaraş;NULL;2009-12-17 00:00:00.000
2645;9840;4.LEVENT;AVRUPA-1            ;34;İSTANBUL                                          ;A;3424;KAĞITHANE;Eski Büyükdere Cad. No:13/B 4. Levent   Kağıthane / İstanbul;NULL;2002-01-31 00:00:00.000
2650;5530;EMNİYET CADDESİ;GÜNEYDOĞU ANADOLU   ;63;ŞANLIURFA                                         ;A;6300;ŞANLIURFA;Yeşildirek Mahallesi Emniyet Caddesi Demirkol Apt. No:80A/1 Haliliye/Şanlıurfa;NULL;2010-12-16 00:00:00.000
2655;2655;GÖKSUN;ÇUKUROVA            ;46;KAHRAMANMARAŞ                                     ;P;4604;GÖKSUN;Bahçelievler Mahallesi Ayhan Taner Ekici Bulvarı No:24F Göksun/Kahramanmaraş;03.05.2023 00:00;2016-01-14 00:00:00.000
2660;1275;KONYA BÜYÜK İŞLETMELER;BAŞKENT-2           ;42;KONYA                                             ;A;4224;KARATAY;Fevziçakmak Mahallesi Kosgeb Caddesi No:1C Karatay/Konya;NULL;2012-11-29 00:00:00.000
2665;3330;LARA;AKDENİZ             ;7;ANTALYA                                           ;A;719;MURATPAŞA;Şirinyalı Mahallesi İsmet Gökşen Caddesi Demirci Hasan Bey Apt. No:36 A Muratpaş;NULL;2005-08-04 00:00:00.000
2670;4870;FENER;AKDENİZ             ;7;ANTALYA                                           ;A;719;MURATPAŞA;Çağlayan Mah. Barınaklar Bulvarı. No:14   Antalya;NULL;2008-06-04 00:00:00.000
2675;1460;HAVSA;TRAKYA              ;22;EDİRNE                                            ;A;2202;HAVSA;Hacı İsa Mah. 23 Kasım Cad. No:17/A Havsa / Edirne;NULL;2009-05-27 00:00:00.000
2680;2680;BORNOVA TAHSİLAT;EGE                 ;35;İZMİR                                             ;P;3501;BORNOVA;554 SOKAK NO.3/A BORNOVA/İZMİR;15.10.2008 00:00;2002-12-30 00:00:00.000
2685;4170;MALKARA;TRAKYA              ;59;TEKİRDAĞ                                          ;A;5904;MALKARA;Camiatik Mh.Gökçeşme sk.No:10/A Malkara / Tekirdağ;NULL;2007-06-21 00:00:00.000
2690;2845;SİVRİHİSAR;BAŞKENT-2           ;26;ESKİŞEHİR                                         ;A;2606;SİVRİHİSAR;Cumhuriyet Mah. Süleyman Demirel Cad. No:31 ve No:33 Sivrihisar/Eskişehir;NULL;2016-12-28 00:00:00.000
2695;2695;BULANIK;GÜNEYDOĞU ANADOLU   ;49;MUŞ                                               ;P;4901;BULANIK;Yeni Mahalle Sultan Alparslan Caddesi No:1 Bulanık/Muş;13.09.2022 00:00;2016-04-07 00:00:00.000
2700;2700;LİMAN ALSANCAK                ;EGE                 ;35;İZMİR                                             ;P;3522;KONAK;ATATURK CAD.NO:402 AFA İŞHANI ALSANCAK;NULL;NULL
2705;5930;ŞENTEPE;BAŞKENT-2           ;6;ANKARA                                            ;A;605;YENİMAHALLE;BURÇ MAH. SEVAL CAD. NO:119/D ŞENTEPE YENİMAHALLE/ANKARA;NULL;2011-06-28 00:00:00.000
